adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684744,tt5325370,en,The Matrix Revolutions: Double Agent Smith,The special effects of the Agent Smith scenes in Matrix Revolutions,1.271,/2US7uuM36El9pnk8WLdGh1XN39r.jpg,[],[],4/6/2004,0,7,[],Released,,The Matrix Revolutions: Double Agent Smith,FALSE,4.5,2
FALSE,/htYaLEQ41N2Ls7mhWvgP8JD21E3.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,505806,,en,A Glitch in the Matrix,"In 'A Glitch in the Matrix', journalist David Fuller analyzes and assesses Dr. Jordan B Peterson's recent viral interview with Cathy Newman, unpacking the deeper political, psychological and archetypal levels of the clash.",0.71,/7vZPj3lFSc6eJsLk5nzvqacvrGR.jpg,[],[],2/17/2018,0,54,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Jordan Peterson, the Intellectual Dark Web & the Mainstream Media",A Glitch in the Matrix,FALSE,6,2
FALSE,/lBdXACywnLwKUZmZkZ87djDQBeV.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,14543,tt0295432,en,The Matrix Revisited,The film goes behind the scenes of the 1999 sci-fi movie The Matrix.,14.17,/fNG2JOskhQnttmAaj2knM5h59Io.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/19/2001,0,123,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Revisited,FALSE,6.9,148
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}]",,591955,tt1830850,en,The Matrix Reloaded Revisited,The making of The Matrix Reloaded:  Go to the middle movies furthest reaches via five documentary paths revealing 21 featurettes,8.299,/gb7C4oRzYWXWCuZMR1cwtHa53Pz.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/7/2004,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Reloaded Revisited,FALSE,7.3,14
FALSE,/waCRuAW5ocONRehP556vPexVXA9.jpg,"{'id': 2344, 'name': 'The Matrix Collection', 'poster_path': '/lh4aGpd3U9rm9B8Oqr6CUgQLtZL.jpg', 'backdrop_path': '/bRm2DEgUiYciDw3myHuYFInD7la.jpg'}",63000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.warnerbros.com/matrix,603,tt0133093,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",82.201,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,"[{'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 372, 'logo_path': None, 'name': 'Groucho II Film Partnership', 'origin_country': ''}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",3/30/1999,463517383,136,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Welcome to the Real World.,The Matrix,FALSE,8.2,20250
FALSE,/3NiiRAKt2L5bUuAvSOkv6Yn7u6T.jpg,"{'id': 2344, 'name': 'The Matrix Collection', 'poster_path': '/lh4aGpd3U9rm9B8Oqr6CUgQLtZL.jpg', 'backdrop_path': '/bRm2DEgUiYciDw3myHuYFInD7la.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.whatisthematrix.com,624860,tt10838180,en,The Matrix Resurrections,"A continuation of the story established in the first Matrix film, reuniting cinematic icons Neo & Trinity as they venture back into the Matrix and even deeper down the rabbit hole. A mind-bending new adventure with action and epic scale, it’s set in a familiar yet even more provocative world where reality is more subjective than ever and all that’s required to see the truth is to free your mind.",95.331,/xLNtaLaHudIzOqdEZ7R3lcDLrQQ.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 84764, 'logo_path': None, 'name': 'Venus Castina Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",12/15/2021,0,147,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Post Production,Return to the source.,The Matrix Resurrections,FALSE,0,0
FALSE,/533xAMhhVyjTy8hwMUFEt5TuDfR.jpg,"{'id': 2344, 'name': 'The Matrix Collection', 'poster_path': '/lh4aGpd3U9rm9B8Oqr6CUgQLtZL.jpg', 'backdrop_path': '/bRm2DEgUiYciDw3myHuYFInD7la.jpg'}",150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,605,tt0242653,en,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,47.316,/fgm8OZ7o4G1G1I9EeGcb85Noe6L.jpg,"[{'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 172, 'logo_path': None, 'name': 'NPV Entertainment', 'origin_country': 'US'}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/5/2003,424988211,129,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,Everything that has a beginning has an end.,The Matrix Revolutions,FALSE,6.7,7434
FALSE,/tva2OlLELCagFynFibcefhn2D9i.jpg,"{'id': 2344, 'name': 'The Matrix Collection', 'poster_path': '/lh4aGpd3U9rm9B8Oqr6CUgQLtZL.jpg', 'backdrop_path': '/bRm2DEgUiYciDw3myHuYFInD7la.jpg'}",150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,604,tt0234215,en,The Matrix Reloaded,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",52.216,/9TGHDvWrqKBzwDxDodHYXEmOE6J.jpg,"[{'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}, {'id': 172, 'logo_path': None, 'name': 'NPV Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/15/2003,738599701,138,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Free your mind.,The Matrix Reloaded,FALSE,7,8303
FALSE,,,5000,"[{'id': 99, 'name': 'Documentary'}]",http://www.uaff-films.com/,26214,tt1595473,en,The American Matrix - Age Of Deception,"A shocking new 2 hour film by B.A. Brooks. This 2010 release is a follow up to ""The Decline And Fall Of America"" which was released in 2008. ""The American Matrix - Age Of Deception"" details news items that all people should be aware of such as the economic collapse of The United States and the formation of the a New World Order. See what has really been going on in America today.",3.226,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/1/2010,0,120,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The American Matrix - Age Of Deception,FALSE,5,9
FALSE,,,0,[],http://cabletwo.tv,854631,tt13992450,en,Cable Two's The Matrix,A digital world becomes reality in Cable Two's italian-infused remake of the hit 1999 blockbuster The Matrix.,0.6,/u5nutKvZz5IVdrqRWeauNYNdqNy.jpg,"[{'id': 158068, 'logo_path': None, 'name': 'Cable Two', 'origin_country': ''}]",[],,0,220,[],Released,He's going to make you an offer you can't refuse...,Cable Two's The Matrix,FALSE,0,0
